title,election,year,type,status,percent,topics,topics2,topics3,topics4,topics5,topics6
"
 Direct Primary Law1",Special,1915,Popular Referendum,Fail (Yes votes: 41.8%),41.80%,Elections,,,,,
"
 Local Taxation Exemption",General,1914,Legislative Referendum,Fail (Yes votes: 41.6%),41.60%,Local Government,Tax & Revenue,,,,
"
 School Employees. Homosexuality.",General,1978,Initiative,Fail (Yes votes: 41.6%),41.60%,Civil & Constitutional Law,Education: PreK-12,,,,
"
 Transportation Funding. Initiative Constitutional Amendment and Statute.",Primary,2008,Initiative,Fail (Yes votes: 41.6%),41.60%,Budgets,Transportation,,,,
"
 Discounts on Prescription Drugs. Initiative Statute.",General,2005,Initiative,Fail (Yes votes: 41.5%),41.50%,Health,,,,,
"
 Personal Liability Insurance for Officers, Agents and Employees of State and Political Subdivisions",General,1940,Legislative Referendum,Fail (Yes votes: 41.5%),41.50%,Insurance,Local Government,,,,
"
 Initiative1",General,1920,Initiative,Fail (Yes votes: 41.4%),41.40%,Elections-Initiative Process,,,,,
"
 Local Taxation",General,1922,Legislative Referendum,Fail (Yes votes: 41.4%),41.40%,Local Government,Tax & Revenue,,,,
"
 Regulating Investment Companies",General,1914,Initiative,Fail (Yes votes: 41.4%),41.40%,Banking & Financial Services,,,,,
"
 Residential Energy Conservation Bond Law",General,1976,Legislative Referendum,Fail (Yes votes: 41.4%),41.40%,Bond Measures,Environmental Protection,,,,
"
 Form of Ballot Law",Special,1915,Popular Referendum,Fail (Yes votes: 41.3%),41.30%,Elections,,,,,
"
 Local Street and Road Bonds",General,1958,Legislative Referendum,Fail (Yes votes: 41.3%),41.30%,Bond Measures,Local Government,Transportation,,,
"
 State Bonds for Refinancing Irrigation and Reclamation Districts",Special,1933,Legislative Referendum,Fail (Yes votes: 41.3%),41.30%,Agriculture,Bond Measures,Local Government,,,
"
 Taxation. Real Property Valuation. New Construction.",General,1982,Legislative Referendum,Fail (Yes votes: 41.3%),41.30%,Tax & Revenue,,,,,
"
 Transportation. Allocation of Sales and Use Taxes Raised From Sale or Lease of Motor Vehicles. Initiative Statute.",General,2002,Initiative,Fail (Yes votes: 41.3%),41.30%,Budgets,Transportation,,,,
"
 State Taxes. Initiative Statute.",General,1992,Initiative,Fail (Yes votes: 41.2%),41.20%,Business & Commerce,Tax & Revenue,,,,
"
 Validation of Legislative Amendments to Alien Land Law",General,1946,Legislative Referendum,Fail (Yes votes: 41.1%),41.10%,Civil & Constitutional Law,Land Use/Property Rights,,,,
"
 Home Rule Taxation",General,1912,Initiative,Fail (Yes votes: 41.0%),41.00%,Local Government,Tax & Revenue,,,,
"
 Office of the Auditor General. Legislative Constitutional Amendment.",General,1992,Legislative Referendum,Fail (Yes votes: 41.0%),41.00%,Legislatures,State Government,,,,
"
 Alcoholic Beverages. Taxes. Legislative Constitutional Amendment",General,1990,Legislative Referendum,Fail (Yes votes: 40.9%),40.90%,Drug/Alcohol/Tobacco Policy,Tax & Revenue,,,,
"
 Insurance Rates, Regulation.",General,1988,Initiative,Fail (Yes votes: 40.9%),40.90%,Insurance,,,,,
"
 Right of Employment",General,1944,Initiative,Fail (Yes votes: 40.8%),40.80%,Labor & Employment,,,,,
"
 Street and Highway Funds: Use for Local Grade Crossing Bonds",General,1960,Legislative Referendum,Fail (Yes votes: 40.8%),40.80%,Tax & Revenue,Transportation,,,,
"
 Attorney Fees, Shareholder Actions, Class Actions. Initiative Statute.",Primary,1996,Initiative,Fail (Yes votes: 40.7%),40.70%,Civil & Constitutional Law,Judiciary,,,,
"
 Election Day Voter Registration. Initiative Statute.
",General,2002,Initiative,Fail (Yes votes: 40.7%),40.70%,Elections,,,,,
"
 Apportionment of Certain Monies to Political Subdivisions for Political Purposes",General,1940,Legislative Referendum,Fail (Yes votes: 40.6%),40.60%,Ethics/Lobbying/Campaign Finance,Local Government,,,,
"
 Governor's Council",General,1930,Legislative Referendum,Fail (Yes votes: 40.6%),40.60%,State Government,,,,,
"
 Repeal of Costa-Hawkins Rental Housing Act and Allow Local Rent Control Initiative",General,2018,Initiative,Fail (Yes votes: 40.6%),40.60%,Human Services,Land Use/Property Rights,Local Government,State Government,,
"
 Youthful and Adult Offender Local Facilities Bond Act of 1996.",General,1996,Legislative Referendum,Fail (Yes votes: 40.6%),40.60%,Bond Measures,Criminal Justice,Juvenile Justice,,,
"
 Alternative Fuel Vehicles and Renewable Energy. Bonds. Initiative Statute.",General,2008,Initiative,Fail (Yes votes: 40.5%),40.50%,Bond Measures,Energy & Electric Utilities,Environmental Protection,Transportation,,
"
 Authorizing Board of Supervisors to Draft County Charter",General,1932,Legislative Referendum,Fail (Yes votes: 40.5%),40.50%,Local Government,,,,,
"
 Eliminates State Commission on Redistricting. Consolidates Authority for Redistricting with Elected Representatives. Initiative Constitutional Amendment and Statute.",General,2010,Initiative,Fail (Yes votes: 40.5%),40.50%,Redistricting,,,,,
"
 Initiative2",General,1922,Initiative,Fail (Yes votes: 40.5%),40.50%,Elections-Initiative Process,,,,,
"
 Nonviolent Drug Offenses. Sentencing, Parole and Rehabilitation. Initiative Statute.",General,2008,Initiative,Fail (Yes votes: 40.5%),40.50%,Criminal Justice,Drug/Alcohol/Tobacco Policy,,,,
"
 Redistricting. Initiative Constitutional Amendment.",General,2005,Initiative,Fail (Yes votes: 40.5%),40.50%,Redistricting,,,,,
"
 Elections. Term Limit Declarations for Congressional Candidates. Initiative Statute.
",Primary,2000,Initiative,Fail (Yes votes: 40.4%),40.40%,Federal Government,Term Limits,,,,
"
 Employer-Employee Relations",General,1958,Initiative,Fail (Yes votes: 40.4%),40.40%,Labor & Employment,,,,,
"
 Fish and Game",General,1930,Initiative,Fail (Yes votes: 40.4%),40.40%,Animal Rights/Hunting & Fishing,Natural Resources,State Government,,,
"
 New Prison Construction Bond Act of 1990-B",General,1990,Legislative Referendum,Fail (Yes votes: 40.4%),40.40%,Bond Measures,Criminal Justice,,,,
"
 Prohibition4",General,1914,Initiative,Fail (Yes votes: 40.4%),40.40%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Changing Motor Vehicle Taxation",General,1930,Legislative Referendum,Fail (Yes votes: 40.3%),40.30%,Tax & Revenue,Transportation,,,,
"
 Subversive Activities",General,1962,Initiative,Fail (Yes votes: 40.3%),40.30%,Civil & Constitutional Law,Criminal Justice,,,,
"
 Vernon City Charter",General,1954,Legislative Referendum,Fail (Yes votes: 40.3%),40.30%,Local Government,,,,,
"
 Decreasing Property Taxes for New Home Purchases by Homebuyers 55 and Older Amendment and Initiative",General,2018,Legislative Referendum,Fail (Yes votes: 40.2%),40.20%,Tax & Revenue,,,,,
"
 Exempting Educational Institutions from Taxation2",Special,1933,Legislative Referendum,Fail (Yes votes: 40.2%),40.20%,Education: PreK-12,Tax & Revenue,,,,
"
 Low Rent Housing Projects. Legislative Constitutional Amendment.",Special,1993,Legislative Referendum,Fail (Yes votes: 40.2%),40.20%,Human Services,,,,,
"
 Appellate Courts",General,1940,Legislative Referendum,Fail (Yes votes: 40.1%),40.10%,Judiciary,,,,,
"
 Limiting Dialysis Revenue and Requiring Refund to Patients or Insurers Initiative",General,2018,Initiative,Fail (Yes votes: 40.1%),40.10%,Business & Commerce,Health,Tax & Revenue,,,
"
 Highway and Traffic Safety Commission",General,1938,Initiative,Fail (Yes votes: 40.0%),40.00%,State Government,Transportation,,,,
"
 Loan of Public Funds",General,1966,Legislative Referendum,Fail (Yes votes: 40.0%),40.00%,Human Services,Tax & Revenue,,,,
"
 Tax Exemption of Commercial and Fishing Vessels",General,1954,Legislative Referendum,Fail (Yes votes: 40.0%),40.00%,Tax & Revenue,Transportation,,,,
"
 Legislature. Sessions. Budget.",General,1944,Legislative Referendum,Fail (Yes votes: 39.9%),39.90%,Budgets,Legislatures,,,,
"
 Office of California Analyst. Legislative Constitutional Amendment.",General,1992,Legislative Referendum,Fail (Yes votes: 39.9%),39.90%,Legislatures,State Government,,,,
"
 Superintendent of Public Instruction1",General,1970,Legislative Referendum,Fail (Yes votes: 39.9%),39.90%,Education: PreK-12,Labor & Employment,State Government,,,
"
 Property Tax Postponement. Legislative Constitutional Amendment.",Primary,1992,Legislative Referendum,Fail (Yes votes: 39.8%),39.80%,Tax & Revenue,,,,,
"
 Tideland Grant to City of Huntington Beach",General,1932,Initiative,Fail (Yes votes: 39.7%),39.70%,Local Government,,,,,
"
 Pay of Legislators2",General,1962,Legislative Referendum,Fail (Yes votes: 39.6%),39.60%,Labor & Employment,Legislatures,,,,
"
 Allocation of Public School Funds",General,1946,Legislative Referendum,Fail (Yes votes: 39.4%),39.40%,Budgets,Education: PreK-12,,,,
"
 Salaries of State Officers",General,1926,Legislative Referendum,Fail (Yes votes: 39.4%),39.40%,Labor & Employment,State Government,,,,
"
 Veterans Tax Exemption",General,1938,Legislative Referendum,Fail (Yes votes: 39.4%),39.40%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 City Charters1",General,1938,Legislative Referendum,Fail (Yes votes: 39.3%),39.30%,Local Government,,,,,
"
 Reapportionment Commission1",General,1926,Initiative,Fail (Yes votes: 39.3%),39.30%,Redistricting,State Government,,,,
"
 General Legislative Sessions",General,1962,Legislative Referendum,Fail (Yes votes: 39.2%),39.20%,Legislatures,,,,,
"
 Mobile Home Rent Assistance/Control Restrictions. Initiative Statute.",Primary,1996,Initiative,Fail (Yes votes: 39.2%),39.20%,Human Services,,,,,
"
 Public Pension Fund Investment.",General,1982,Legislative Referendum,Fail (Yes votes: 39.2%),39.20%,Banking & Financial Services,Labor & Employment,Local Government,State Government,,
"
 Taxation. Income.",Primary,1980,Initiative,Fail (Yes votes: 39.2%),39.20%,Tax & Revenue,,,,,
"
 Preschool Education. Tax on Incomes Over $400,000 for Individuals; $800,000 for Couples. Initiative Constitutional Amendment and Statute.",Primary,2006,Initiative,Fail (Yes votes: 39.1%),39.10%,Education: PreK-12,Tax & Revenue,,,,
"
 Reimbursing Counties for Losses from State Taxation",General,1930,Legislative Referendum,Fail (Yes votes: 39.1%),39.10%,Local Government,State Government,Tax & Revenue,,,
"
 Salaries, California Highway Patrol",General,1972,Initiative,Fail (Yes votes: 39.1%),39.10%,Labor & Employment,State Government,,,,
"
 Legislature: Participation in Public Employees' Retirement System. Legislative Constitutional Amendment.",General,2000,Legislative Referendum,Fail (Yes votes: 39%),39%,Labor & Employment,Legislatures,,,,
"
 Dentistry",General,1918,Initiative,Fail (Yes votes: 38.9%),38.90%,Health,,,,,
"
 Los Angeles County Exposition Bonds",General,1936,Legislative Referendum,Fail (Yes votes: 38.9%),38.90%,Bond Measures,Local Government,,,,
"
 Prescription Drug Discounts. State-Negotiated Rebates. Initiative Statute.",General,2005,Initiative,Fail (Yes votes: 38.9%),38.90%,Health,,,,,
"
 School Textbooks. Nonpublic Schools.",General,1982,Legislative Referendum,Fail (Yes votes: 38.9%),38.90%,Education: PreK-12,,,,,
"
 Exempting Hospitals and Sanitoriums from Taxation",General,1930,Legislative Referendum,Fail (Yes votes: 38.8%),38.80%,Health,Tax & Revenue,,,,
"
 Grade Separation Bonds",General,1928,Legislative Referendum,Fail (Yes votes: 38.8%),38.80%,Bond Measures,Transportation,,,,
"
 One Day of Rest in Seven",General,1914,Initiative,Fail (Yes votes: 38.8%),38.80%,Labor & Employment,,,,,
"
 State Legislature",General,1956,Legislative Referendum,Fail (Yes votes: 38.8%),38.80%,Legislatures,,,,,
"
 Budget Implementation. Legislative Constitutional Amendment.",Special,1993,Legislative Referendum,Fail (Yes votes: 38.7%),38.70%,Budgets,Legislatures,,,,
"
 Extra Sessions of District Courts of Appeal",General,1914,Legislative Referendum,Fail (Yes votes: 38.7%),38.70%,Judiciary,,,,,
"
 Health Care. Consumer Protection. Taxes on Corporate Restructuring. Initiative Statute.",General,1996,Initiative,Fail (Yes votes: 38.7%),38.70%,Business & Commerce,Health,Tax & Revenue,,,
"
 Low Rent Housing",General,1974,Legislative Referendum,Fail (Yes votes: 38.7%),38.70%,Human Services,,,,,
"
 Oil and Gas Control",Special,1939,Popular Referendum,Fail (Yes votes: 38.7%),38.70%,Energy & Electric Utilities,Natural Resources,State Government,,,
"
 Water Resources",General,1934,Legislative Referendum,Fail (Yes votes: 38.7%),38.70%,Energy & Electric Utilities,Natural Resources,,,,
"
 Low-Rent Housing.",Primary,1980,Legislative Referendum,Fail (Yes votes: 38.6%),38.60%,Tax & Revenue,,,,,
"
 County Charters2",Special,1915,Legislative Referendum,Fail (Yes votes: 38.5%),38.50%,Local Government,,,,,
"
 Emergency Reserve. Dedication Of Certain Taxes To Transportation. Appropriation Limit Change.",Primary,1988,Initiative,Fail (Yes votes: 38.5%),38.50%,Budgets,Tax & Revenue,Transportation,,,
"
 Government Acquisition, Regulation of Private Property. Constitutional Amendment.",Primary,2008,Initiative,Fail (Yes votes: 38.5%),38.50%,Land Use/Property Rights,,,,,
"
 Suspends Implementation of Air Pollution Control Law (AB 32) Requiring Major Sources of Emissions to Report and Reduce Greenhouse Gas Emissions That Cause Global Warming, Until Unemployment Drops to 5.5 Percent or Less for Full Year.",General,2010,Initiative,Fail (Yes votes: 38.4%),38.40%,Energy & Electric Utilities,Environmental Protection,,,,
"
 Public Utilities Commission2",General,1978,Legislative Referendum,Fail (Yes votes: 38.3%),38.30%,Energy & Electric Utilities,State Government,,,,
"
 State Indebtedness5",General,1958,Legislative Referendum,Fail (Yes votes: 38.3%),38.30%,Budgets,Elections,State Government,,,
"
 Borough Form of County Government",General,1956,Legislative Referendum,Fail (Yes votes: 38.2%),38.20%,Local Government,,,,,
"
 Personal Income Taxes1",General,1936,Initiative,Fail (Yes votes: 38.2%),38.20%,Tax & Revenue,,,,,
"
 Bonds",General,1924,Legislative Referendum,Fail (Yes votes: 38.1%),38.10%,Bond Measures,,,,,
"
 Constitutional Officers, Legislators and Judges Compensation",Primary,1978,Legislative Referendum,Fail (Yes votes: 38.1%),38.10%,Judiciary,Labor & Employment,Legislatures,State Government,,
"
 Education Funding. Payment Plan.",Special,2009,Legislative Referendum,Fail (Yes votes: 38.1%),38.10%,Budgets,Education: PreK-12,,,,
"
 Making the State Board of Education Elective; Abolishing Superintendent of Public Instruction; Providing for Director of Education",General,1934,Initiative,Fail (Yes votes: 38.1%),38.10%,Education: PreK-12,State Government,,,,
"
 State-Funded Design and Engineering Services. Initiative Constitutional Amendment.",Primary,1998,Initiative,Fail (Yes votes: 38.1%),38.10%,State Government,,,,,
"
 Chiropractic2",General,1934,Initiative,Fail (Yes votes: 38.0%),38.00%,Health,,,,,
"
 Deposit of Public Moneys6",Special,1915,Legislative Referendum,Fail (Yes votes: 38.0%),38.00%,Banking & Financial Services,Tax & Revenue,,,,
"
 Consolidated City and County Governments",General,1912,Initiative,Fail (Yes votes: 37.9%),37.90%,Local Government,,,,,
"
 Drug Enforcement and Prevention. Taxes. Prison Terms. Initiative Statute.",General,1990,Initiative,Fail (Yes votes: 37.9%),37.90%,Criminal Justice,Drug/Alcohol/Tobacco Policy,,,,
"
 Reapportionment. Assembly Districts.",Primary,1982,Popular Referendum,Fail (Yes votes: 37.9%),37.90%,Redistricting,,,,,
"
 State Spending and School Funding Limits. Initiative Constitutional Amendment.",General,2005,Initiative,Fail (Yes votes: 37.9%),37.90%,Budgets,Education: PreK-12,,,,
"
 Transfer of Funds by City Treasurer",General,1940,Legislative Referendum,Fail (Yes votes: 37.9%),37.90%,Local Government,,,,,
"
 Agricultural Labor Relations - Initiative Statute",General,1976,Initiative,Fail (Yes votes: 37.8%),37.80%,Agriculture,Labor & Employment,,,,
"
 Limits on Terms of Office. Ethics. Campaign Financing. Initiative Constitutional Amendment and Statute.",General,1990,Initiative,Fail (Yes votes: 37.8%),37.80%,Ethics/Lobbying/Campaign Finance,Legislatures,State Government,Term Limits,,
"
 Reapportionment. Senate Districts.",Primary,1982,Popular Referendum,Fail (Yes votes: 37.8%),37.80%,Redistricting,,,,,
"
 Eminent Domain4",General,1918,Legislative Referendum,Fail (Yes votes: 37.7%),37.70%,Land Use/Property Rights,,,,,
"
 Voting by Absent Electors",General,1914,Initiative,Fail (Yes votes: 37.7%),37.70%,Elections,,,,,
"
 Local Government Funds and Revenues. State Mandates. Initiative Constitutional Amendment.",General,2004,Initiative,Fail (Yes votes: 37.6%),37.60%,Legislatures,Local Government,Tax & Revenue,,,
"
 Rates of Interest on Loans and Judgments",General,1942,Legislative Referendum,Fail (Yes votes: 37.6%),37.60%,Banking & Financial Services,,,,,
"
 Superintendent of Public Instruction2",General,1958,Legislative Referendum,Fail (Yes votes: 37.6%),37.60%,Education: PreK-12,State Government,,,,
"
 Taxation of Publicly Owned Public Utilities",General,1922,Initiative,Fail (Yes votes: 37.6%),37.60%,Energy & Electric Utilities,Tax & Revenue,,,,
"
 County Correctional Facility Capital Expenditure and Juvenile Facility Bond Act of 1990",General,1990,Legislative Referendum,Fail (Yes votes: 37.3%),37.30%,Bond Measures,Criminal Justice,Juvenile Justice,,,
"
 Greenhouse Gas Reduction Reserve Fund Amendment",Primary,2018,Legislative Referendum,Fail (Yes votes: 37.3%),37.30%,Business & Commerce,Energy & Electric Utilities,Environmental Protection,Natural Resources,,
"
 State Construction Program Bond Act of 1962",Primary,1962,Legislative Referendum,Fail (Yes votes: 37.3%),37.30%,Bond Measures,State Government,,,,
"
 Water Facilities Including a Peripheral Canal.",Primary,1982,Popular Referendum,Fail (Yes votes: 37.3%),37.30%,Environmental Protection,Natural Resources,,,,
"
 Compensation of State Executive Officers",General,1930,Legislative Referendum,Fail (Yes votes: 37.2%),37.20%,Labor & Employment,State Government,,,,
"
 Handgun Registration",General,1982,Initiative,Fail (Yes votes: 37.2%),37.20%,Business & Commerce,Civil & Constitutional Law,,,,
"
 Condemnation for Public Purposes2",Special,1915,Legislative Referendum,Fail (Yes votes: 37.1%),37.10%,Land Use/Property Rights,,,,,
"
 State Taxation1",General,1924,Legislative Referendum,Fail (Yes votes: 37.1%),37.10%,Education: PreK-12,Tax & Revenue,,,,
"
 Public Aid and Medical Assistance Programs.",General,1984,Initiative,Fail (Yes votes: 37.0%),37.00%,Health,Human Services,State Government,,,
"
 Prohibiting Certain Acts with Animals and Use of Certain Instruments to Control Them",General,1928,Initiative,Fail (Yes votes: 36.9%),36.90%,Animal Rights/Hunting & Fishing,,,,,
"
 Municipal Charters2",General,1948,Legislative Referendum,Fail (Yes votes: 36.8%),36.80%,Local Government,,,,,
"
 Public Schools. Permanent Class Size Reduction. Parent-Teacher Council. Teacher Credentialing. Pupil Suspension for Drug Possession. Initiative Statute.",General,1998,Initiative,Fail (Yes votes: 36.8%),36.80%,Criminal Justice,Education: PreK-12,,,,
"
 Boxing and Wrestling Contests1",General,1928,Initiative,Fail (Yes votes: 36.7%),36.70%,Business & Commerce,,,,,
"
 Bonds: Housing for the Aged and Physically Handicapped",Primary,1962,Legislative Referendum,Fail (Yes votes: 36.6%),36.60%,Bond Measures,Human Services,,,,
"
 Referendum Opposing an Act Creating the Office of Registrar of Voters -- Officers of a County",General,1912,Popular Referendum,Fail (Yes votes: 36.6%),36.60%,Elections,Local Government,,,,
"
 Church, Orphanage, and College Tax Exemptions",General,1938,Legislative Referendum,Fail (Yes votes: 36.5%),36.50%,Education: PreK-12,Human Services,Tax & Revenue,,,
"
 Prohibiting Special Laws",General,1922,Legislative Referendum,Fail (Yes votes: 36.4%),36.40%,Legislatures,,,,,
"
 Referendum Opposing an Act Creating the Office of Registrar of Voters -- Registrar of Voters, Salary and Duties",General,1912,Popular Referendum,Fail (Yes votes: 36.4%),36.40%,Elections,Local Government,,,,
"
 Taxation Exemptions",General,1918,Legislative Referendum,Fail (Yes votes: 36.4%),36.40%,Human Services,Tax & Revenue,,,,
"
 County and Municipal Civil Service",General,1936,Initiative,Fail (Yes votes: 36.3%),36.30%,Labor & Employment,Local Government,,,,
"
 Reapportionment By Commission. Initiative. Constitutional Amendment And Statute",Primary,1990,Initiative,Fail (Yes votes: 36.2%),36.20%,Redistricting,,,,,
"
 Classification By Race, Ethnicity, Color or National Origin. Initiative Constitutional Amendment.",Special,2003,Initiative,Fail (Yes votes: 36.1%),36.10%,Civil & Constitutional Law,,,,,
"
 Infrastructure: Finance. Legislative Constitutional Amendment.",Special,2003,Legislative Referendum,Fail (Yes votes: 36.1%),36.10%,Budgets,Education: PreK-12,Natural Resources,Transportation,,
"
 State Indebtedness4",General,1934,Legislative Referendum,Fail (Yes votes: 36.1%),36.10%,Budgets,Tax & Revenue,,,,
"
 ""None of the Above"" Ballot Option. Initiative Statute.",Primary,2000,Initiative,Fail (Yes votes: 36%),36%,Elections,,,,,
"
 Exempting Cemeteries from Taxation",General,1918,Legislative Referendum,Fail (Yes votes: 36.0%),36.00%,Tax & Revenue,,,,,
"
 Exempting Property from Taxation",Special,1915,Legislative Referendum,Fail (Yes votes: 36.0%),36.00%,Tax & Revenue,,,,,
"
 Exempting Secondary Schools from Taxation",General,1926,Legislative Referendum,Fail (Yes votes: 35.9%),35.90%,Education: PreK-12,Tax & Revenue,,,,
"
 Regulation of Publicly Owned Public Utilities",General,1922,Initiative,Fail (Yes votes: 35.8%),35.80%,Energy & Electric Utilities,,,,,
"
 Tax Exemption",General,1924,Legislative Referendum,Fail (Yes votes: 35.8%),35.80%,Tax & Revenue,,,,,
"
 Environment. Public Health. Bonds. Initiative Statute",General,1990,Initiative,Fail (Yes votes: 35.7%),35.70%,Agriculture,Bond Measures,Environmental Protection,Health,,
"
 Compensation of Legislative Members Increased, Mileage Maximum Fixed",General,1942,Legislative Referendum,Fail (Yes votes: 35.6%),35.60%,Legislatures,,,,,
"
 Lottery Modernization Act.",Special,2009,Legislative Referendum,Fail (Yes votes: 35.6%),35.60%,Education: PreK-12,Gambling & Lotteries,,,,
"
 State Highways",General,1926,Initiative,Fail (Yes votes: 35.6%),35.60%,Transportation,,,,,
"
 Campaign Contribution Limitations. Elective State Offices.",General,1984,Initiative,Fail (Yes votes: 35.5%),35.50%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Renewable Energy Generation. Initiative Statute.",General,2008,Initiative,Fail (Yes votes: 35.5%),35.50%,Energy & Electric Utilities,Environmental Protection,,,,
"
 Senate Reapportionment3",General,1960,Initiative,Fail (Yes votes: 35.5%),35.50%,Redistricting,,,,,
"
 Racing2",General,1926,Initiative,Fail (Yes votes: 35.4%),35.40%,Agriculture,Animal Rights/Hunting & Fishing,Gambling & Lotteries,Military & Veterans Affairs,State Government,
"
 Reapportionment. Congressional Districts.",Primary,1982,Popular Referendum,Fail (Yes votes: 35.4%),35.40%,Redistricting,,,,,
"
 Rent-Control Through Local Ordinance",Primary,1980,Initiative,Fail (Yes votes: 35.4%),35.40%,Business & Commerce,Local Government,,,,
"
 Title Insurance",General,1922,Legislative Referendum,Fail (Yes votes: 35.4%),35.40%,Insurance,,,,,
"
 Clean Environment Act",Primary,1972,Initiative,Fail (Yes votes: 35.3%),35.30%,Business & Commerce,Energy & Electric Utilities,,,,
"
 Water Resources.",General,1982,Initiative,Fail (Yes votes: 35.2%),35.20%,Environmental Protection,Natural Resources,,,,
"
 State School Building Aid Bond Law of 1978",Primary,1978,Legislative Referendum,Fail (Yes votes: 35.0%),35.00%,Bond Measures,Education: PreK-12,,,,
"
 Passenger Rail and Clean Air Bond Act of 1994.",General,1994,Legislative Referendum,Fail (Yes votes: 34.9%),34.90%,Bond Measures,Transportation,,,,
"
 No Fault Motor Vehicle Insurance. Tort Liability. Initiative Statute.",Primary,1996,Initiative,Fail (Yes votes: 34.8%),34.80%,Insurance,,,,,
"
 Election Campaigns. Contributions and Spending Limits. Public Financing. Disclosures. Initiative Statute.",Primary,2000,Initiative,Fail (Yes votes: 34.7%),34.70%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Referendum Opposing an Act the Office of Registrar of Voters -- Salaries and Fees in Counties of Third Class",General,1912,Popular Referendum,Fail (Yes votes: 34.7%),34.70%,Elections,Local Government,,,,
"
 Unifying Superior, Municipal, And Justice Courts.",General,1982,Legislative Referendum,Fail (Yes votes: 34.7%),34.70%,Judiciary,,,,,
"
 Authorizing State's Borrowing Money in Anticipation of Taxes and Revenues",Special,1935,Legislative Referendum,Fail (Yes votes: 34.6%),34.60%,Budgets,Tax & Revenue,,,,
"
 Stabilizes State Budget. Changes California Budget Process. Limits State Spending. Increases ""Rainy Day"" Budget Stabilization Fund.",Special,2009,Legislative Referendum,Fail (Yes votes: 34.6%),34.60%,Budgets,Tax & Revenue,,,,
"
 Reporting Exposure To Aids Virus.",General,1988,Initiative,Fail (Yes votes: 34.4%),34.40%,Health,Insurance,Labor & Employment,,,
"
 Compensation of Local Officers2",General,1950,Legislative Referendum,Fail (Yes votes: 34.3%),34.30%,Labor & Employment,Local Government,,,,
"
 Electric Service Providers. Regulation. Initiative Statute.",General,2005,Initiative,Fail (Yes votes: 34.3%),34.30%,Energy & Electric Utilities,Environmental Protection,,,,
"
 Liquor Control",General,1936,Initiative,Fail (Yes votes: 34.3%),34.30%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 State Budget, Related Taxes and Reserve. Voting Requirements. Penalties. Initiative Constitutional Amendment and Statute.",Primary,2004,Initiative,Fail (Yes votes: 34.3%),34.30%,Budgets,Legislatures,,,,
"
 Attorneys. Fees. Right to Negotiate. Frivolous Lawsuits. Initiative Statute.",General,1996,Initiative,Fail (Yes votes: 34.2%),34.20%,Civil & Constitutional Law,Judiciary,,,,
"
 Compensation of Legislators2",General,1962,Legislative Referendum,Fail (Yes votes: 34.1%),34.10%,Labor & Employment,Legislatures,,,,
"
 Compensation Of Public Officials, Employees, Individual Public Contractors.",General,1986,Initiative,Fail (Yes votes: 34.1%),34.10%,Labor & Employment,Local Government,State Government,,,
"
 Prohibiting Vivisection1",General,1920,Initiative,Fail (Yes votes: 34.1%),34.10%,Animal Rights/Hunting & Fishing,Health,,,,
"
 Property Tax Limitations",General,1972,Initiative,Fail (Yes votes: 34.1%),34.10%,Tax & Revenue,,,,,
"
 Basic Science Act",General,1942,Initiative,Fail (Yes votes: 34.0%),34.00%,Health,,,,,
"
 Protects Children's Services Funding. Helps Balance State Budget.",Special,2009,Legislative Referendum,Fail (Yes votes: 34.0%),34.00%,Budgets,Human Services,,,,
"
 Retirement Warrants",Special,1939,Initiative,Fail (Yes votes: 33.9%),33.90%,Bond Measures,Human Services,State Government,,,
"
 State Taxation2",General,1922,Legislative Referendum,Fail (Yes votes: 33.6%),33.60%,Tax & Revenue,,,,,
"
 Eight Hour Law",General,1914,Initiative,Fail (Yes votes: 33.5%),33.50%,Criminal Justice,Labor & Employment,,,,
"
 Marijuana - Removal of Penalty for Personal Use",General,1972,Initiative,Fail (Yes votes: 33.5%),33.50%,Criminal Justice,Drug/Alcohol/Tobacco Policy,,,,
"
 Mental Health Services Funding. Temporary Reallocation. Helps Balance State Budget.",Special,2009,Legislative Referendum,Fail (Yes votes: 33.5%),33.50%,Budgets,Health,,,,
"
 Assessments: Historical Landmark Area",General,1962,Legislative Referendum,Fail (Yes votes: 33.3%),33.30%,Arts & Culture,Tax & Revenue,,,,
"
 Veterans Tax Exemption in Housing Project",General,1962,Legislative Referendum,Fail (Yes votes: 33.1%),33.10%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Veterans' Tax Exemption in Housing Project",General,1962,Legislative Referendum,Fail (Yes votes: 33.1%),33.10%,Human Services,Military & Veterans Affairs,Tax & Revenue,,,
"
 Legislature. Reapportionment. Ethics. Initiative Constitutional Amendment And Statute",Primary,1990,Initiative,Fail (Yes votes: 33.0%),33.00%,Ethics/Lobbying/Campaign Finance,Redistricting,,,,
"
 Removing Restriction Upon Use of State's Half of Highway Transportation Taxes",General,1932,Legislative Referendum,Fail (Yes votes: 33.0%),33.00%,Tax & Revenue,Transportation,,,,
